LapTime,Position,Driver,DriverNumber,Time,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Deleted,DeletedReason,FastF1Generated,IsAccurate,Circuit_Name,Circuit_Corners,Circuit_Rotation,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:01:55.400000,15.0,STR,18,0 days 00:40:38.644000,1.0,1.0,,,,0 days 00:00:49.078000,0 days 00:00:34.184000,,0 days 00:41:20.153000,0 days 00:41:54.460000,146.0,218.0,245.0,245.0,False,WET,1.0,True,Racing Point,0 days 00:39:58.698000,2019-07-28 13:19:58.860,1,False,,False,False,German Grand Prix,17,0.0,21.1,88.2,991.4,True,26.2,201,1.1
0 days 00:01:48.661000,14.0,STR,18,0 days 00:42:38.676000,2.0,1.0,,,0 days 00:00:23.536000,0 days 00:00:45.977000,0 days 00:00:39.148000,0 days 00:42:17.841000,0 days 00:43:03.818000,0 days 00:43:42.966000,164.0,217.0,147.0,306.0,True,WET,2.0,True,Racing Point,0 days 00:41:54.305000,2019-07-28 13:21:54.467,4,False,,False,False,German Grand Prix,17,0.0,21.1,88.7,991.3,True,26.1,119,0.4
0 days 00:01:56.972000,11.0,STR,18,0 days 00:44:38.697000,3.0,1.0,,,0 days 00:00:26.983000,0 days 00:00:52.637000,0 days 00:00:37.352000,0 days 00:44:09.949000,0 days 00:45:02.586000,0 days 00:45:39.938000,141.0,202.0,228.0,219.0,False,WET,3.0,True,Racing Point,0 days 00:43:42.966000,2019-07-28 13:23:43.128,4,False,,False,False,German Grand Prix,17,0.0,21.3,88.5,991.4,True,26.4,137,1.4
0 days 00:02:06.591000,5.0,STR,18,0 days 00:46:38.725000,4.0,1.0,,,0 days 00:00:23.727000,0 days 00:00:59.880000,0 days 00:00:42.984000,0 days 00:46:03.665000,0 days 00:47:03.545000,0 days 00:47:46.529000,146.0,125.0,245.0,188.0,False,WET,4.0,True,Racing Point,0 days 00:45:39.938000,2019-07-28 13:25:40.100,4,False,,False,False,German Grand Prix,17,0.0,21.2,88.3,991.4,True,26.1,117,1.0
0 days 00:01:39.801000,7.0,STR,18,0 days 00:48:38.753000,5.0,1.0,,,0 days 00:00:22.427000,0 days 00:00:45.113000,0 days 00:00:32.261000,0 days 00:48:08.956000,0 days 00:48:54.069000,0 days 00:49:26.330000,154.0,224.0,241.0,308.0,True,WET,5.0,True,Racing Point,0 days 00:47:46.529000,2019-07-28 13:27:46.691,1,False,,False,False,German Grand Prix,17,0.0,21.5,88.5,991.3,True,26.4,158,2.2
0 days 00:01:39.437000,9.0,STR,18,0 days 00:49:38.765000,6.0,1.0,,,0 days 00:00:22.296000,0 days 00:00:44.580000,0 days 00:00:32.561000,0 days 00:49:48.626000,0 days 00:50:33.206000,0 days 00:51:05.767000,166.0,219.0,244.0,306.0,True,WET,6.0,True,Racing Point,0 days 00:49:26.330000,2019-07-28 13:29:26.492,1,False,,False,True,German Grand Prix,17,0.0,21.6,86.9,991.5,True,26.6,323,0.7
0 days 00:01:43.741000,13.0,STR,18,0 days 00:51:38.799000,7.0,1.0,,0 days 00:52:47.065000,0 days 00:00:22.138000,0 days 00:00:45.143000,0 days 00:00:36.460000,0 days 00:51:27.905000,0 days 00:52:13.048000,0 days 00:52:49.508000,164.0,219.0,,304.0,False,WET,7.0,True,Racing Point,0 days 00:51:05.767000,2019-07-28 13:31:05.929,1,False,,False,False,German Grand Prix,17,0.0,21.5,88.4,991.5,True,26.1,185,0.7
0 days 00:01:51.502000,17.0,STR,18,0 days 00:53:38.825000,8.0,2.0,0 days 00:53:09.786000,,0 days 00:00:38.777000,0 days 00:00:42.870000,0 days 00:00:29.855000,0 days 00:53:28.285000,0 days 00:54:11.155000,0 days 00:54:41.010000,165.0,223.0,252.0,308.0,False,INTERMEDIATE,1.0,True,Racing Point,0 days 00:52:49.508000,2019-07-28 13:32:49.670,1,False,,False,False,German Grand Prix,17,0.0,21.7,87.0,991.4,True,26.2,3,0.6
0 days 00:01:33.648000,17.0,STR,18,0 days 00:55:38.852000,9.0,2.0,,,0 days 00:00:21.007000,0 days 00:00:42.789000,0 days 00:00:29.852000,0 days 00:55:02.017000,0 days 00:55:44.806000,0 days 00:56:14.658000,167.0,222.0,249.0,309.0,True,INTERMEDIATE,2.0,True,Racing Point,0 days 00:54:41.010000,2019-07-28 13:34:41.172,1,False,,False,True,German Grand Prix,17,0.0,21.6,88.3,991.5,True,26.3,0,0.4
0 days 00:01:32.657000,17.0,STR,18,0 days 00:56:38.867000,10.0,2.0,,,0 days 00:00:20.888000,0 days 00:00:42.514000,0 days 00:00:29.255000,0 days 00:56:35.546000,0 days 00:57:18.060000,0 days 00:57:47.315000,172.0,231.0,250.0,308.0,True,INTERMEDIATE,3.0,True,Racing Point,0 days 00:56:14.658000,2019-07-28 13:36:14.820,1,False,,False,True,German Grand Prix,17,0.0,21.6,87.5,991.5,True,26.4,2,0.4
0 days 00:01:32.873000,17.0,STR,18,0 days 00:58:38.903000,11.0,2.0,,,0 days 00:00:20.498000,0 days 00:00:43.118000,0 days 00:00:29.257000,0 days 00:58:07.813000,0 days 00:58:50.931000,0 days 00:59:20.188000,173.0,230.0,247.0,307.0,False,INTERMEDIATE,4.0,True,Racing Point,0 days 00:57:47.315000,2019-07-28 13:37:47.477,1,False,,False,True,German Grand Prix,17,0.0,21.3,86.8,991.5,True,26.0,194,0.7
0 days 00:01:32.309000,17.0,STR,18,0 days 00:59:38.909000,12.0,2.0,,,0 days 00:00:20.440000,0 days 00:00:42.217000,0 days 00:00:29.652000,0 days 00:59:40.628000,0 days 01:00:22.845000,0 days 01:00:52.497000,174.0,231.0,247.0,308.0,True,INTERMEDIATE,5.0,True,Racing Point,0 days 00:59:20.188000,2019-07-28 13:39:20.350,1,False,,False,True,German Grand Prix,17,0.0,21.4,87.7,991.6,True,26.0,89,1.3
0 days 00:01:31.913000,17.0,STR,18,0 days 01:01:38.936000,13.0,2.0,,,0 days 00:00:20.461000,0 days 00:00:42.260000,0 days 00:00:29.192000,0 days 01:01:12.958000,0 days 01:01:55.218000,0 days 01:02:24.410000,179.0,228.0,250.0,306.0,True,INTERMEDIATE,6.0,True,Racing Point,0 days 01:00:52.497000,2019-07-28 13:40:52.659,1,False,,False,True,German Grand Prix,17,0.0,21.4,87.1,991.6,True,26.2,176,1.1
0 days 00:01:36.152000,16.0,STR,18,0 days 01:02:38.952000,14.0,2.0,,,0 days 00:00:20.510000,0 days 00:00:42.706000,0 days 00:00:32.936000,0 days 01:02:44.920000,0 days 01:03:27.626000,0 days 01:04:00.562000,178.0,230.0,204.0,306.0,False,INTERMEDIATE,7.0,True,Racing Point,0 days 01:02:24.410000,2019-07-28 13:42:24.572,26,False,,False,False,German Grand Prix,17,0.0,21.6,88.0,991.6,True,26.2,358,1.3
0 days 00:01:49.391000,16.0,STR,18,0 days 01:04:38.981000,15.0,2.0,,,0 days 00:00:25.826000,0 days 00:00:53.925000,0 days 00:00:29.640000,0 days 01:04:26.388000,0 days 01:05:20.313000,0 days 01:05:49.953000,151.0,229.0,249.0,192.0,False,INTERMEDIATE,8.0,True,Racing Point,0 days 01:04:00.562000,2019-07-28 13:44:00.724,67,False,,False,False,German Grand Prix,17,0.0,21.4,87.5,991.6,True,26.1,65,0.6
0 days 00:01:31.712000,16.0,STR,18,0 days 01:06:39.008000,16.0,2.0,,,0 days 00:00:20.748000,0 days 00:00:41.621000,0 days 00:00:29.343000,0 days 01:06:10.701000,0 days 01:06:52.322000,0 days 01:07:21.665000,171.0,234.0,252.0,305.0,True,INTERMEDIATE,9.0,True,Racing Point,0 days 01:05:49.953000,2019-07-28 13:45:50.115,1,False,,False,True,German Grand Prix,17,0.0,21.5,87.3,991.6,True,26.1,9,0.6
0 days 00:01:31.695000,16.0,STR,18,0 days 01:07:39.023000,17.0,2.0,,,0 days 00:00:20.424000,0 days 00:00:41.791000,0 days 00:00:29.480000,0 days 01:07:42.089000,0 days 01:08:23.880000,0 days 01:08:53.360000,180.0,236.0,246.0,305.0,True,INTERMEDIATE,10.0,True,Racing Point,0 days 01:07:21.665000,2019-07-28 13:47:21.827,1,False,,False,True,German Grand Prix,17,0.0,21.4,86.9,991.7,True,26.2,188,0.9
0 days 00:01:32.764000,16.0,STR,18,0 days 01:09:39.048000,18.0,2.0,,,0 days 00:00:20.724000,0 days 00:00:41.769000,0 days 00:00:30.271000,0 days 01:09:14.084000,0 days 01:09:55.853000,0 days 01:10:26.124000,177.0,237.0,245.0,306.0,False,INTERMEDIATE,11.0,True,Racing Point,0 days 01:08:53.360000,2019-07-28 13:48:53.522,2,False,,False,True,German Grand Prix,17,0.0,21.3,87.3,991.6,True,25.9,27,0.9
0 days 00:01:34.173000,16.0,STR,18,0 days 01:10:39.062000,19.0,2.0,,,0 days 00:00:20.706000,0 days 00:00:42.930000,0 days 00:00:30.537000,0 days 01:10:46.830000,0 days 01:11:29.760000,0 days 01:12:00.297000,172.0,236.0,247.0,309.0,False,INTERMEDIATE,12.0,True,Racing Point,0 days 01:10:26.124000,2019-07-28 13:50:26.286,1,False,,False,True,German Grand Prix,17,0.0,21.3,87.5,991.7,True,25.9,299,1.0
0 days 00:01:32.930000,15.0,STR,18,0 days 01:12:39.089000,20.0,2.0,,,0 days 00:00:21.024000,0 days 00:00:41.765000,0 days 00:00:30.141000,0 days 01:12:21.321000,0 days 01:13:03.086000,0 days 01:13:33.227000,,236.0,249.0,327.0,False,INTERMEDIATE,13.0,True,Racing Point,0 days 01:12:00.297000,2019-07-28 13:52:00.459,1,False,,False,True,German Grand Prix,17,0.0,21.4,87.4,991.7,True,26.3,175,0.5
0 days 00:01:32.755000,15.0,STR,18,0 days 01:13:39.103000,21.0,2.0,,,0 days 00:00:20.661000,0 days 00:00:41.832000,0 days 00:00:30.262000,0 days 01:13:53.888000,0 days 01:14:35.720000,0 days 01:15:05.982000,178.0,238.0,245.0,303.0,False,INTERMEDIATE,14.0,True,Racing Point,0 days 01:13:33.227000,2019-07-28 13:53:33.389,1,False,,False,True,German Grand Prix,17,0.0,21.7,88.1,991.6,True,26.5,205,1.0
0 days 00:01:33.744000,15.0,STR,18,0 days 01:15:39.130000,22.0,2.0,,,0 days 00:00:20.744000,0 days 00:00:42.264000,0 days 00:00:30.736000,0 days 01:15:26.726000,0 days 01:16:08.990000,0 days 01:16:39.726000,166.0,237.0,244.0,302.0,False,INTERMEDIATE,15.0,True,Racing Point,0 days 01:15:05.982000,2019-07-28 13:55:06.144,1,False,,False,True,German Grand Prix,17,0.0,21.7,87.5,991.7,True,26.4,0,0.9
0 days 00:01:33.739000,15.0,STR,18,0 days 01:17:39.157000,23.0,2.0,,,0 days 00:00:20.716000,0 days 00:00:42.128000,0 days 00:00:30.895000,0 days 01:17:00.442000,0 days 01:17:42.570000,0 days 01:18:13.465000,168.0,235.0,246.0,303.0,False,INTERMEDIATE,16.0,True,Racing Point,0 days 01:16:39.726000,2019-07-28 13:56:39.888,1,False,,False,True,German Grand Prix,17,0.0,21.9,87.4,991.7,True,26.5,337,0.9
0 days 00:01:34.398000,15.0,STR,18,0 days 01:18:39.171000,24.0,2.0,,,0 days 00:00:20.899000,0 days 00:00:42.272000,0 days 00:00:31.227000,0 days 01:18:34.364000,0 days 01:19:16.636000,0 days 01:19:47.863000,167.0,232.0,244.0,303.0,False,INTERMEDIATE,17.0,True,Racing Point,0 days 01:18:13.465000,2019-07-28 13:58:13.627,1,False,,False,True,German Grand Prix,17,0.0,21.6,87.6,991.8,True,26.5,34,0.6
0 days 00:01:37.493000,15.0,STR,18,0 days 01:20:39.199000,25.0,2.0,,0 days 01:21:22.934000,0 days 00:00:20.689000,0 days 00:00:41.928000,0 days 00:00:34.876000,0 days 01:20:08.552000,0 days 01:20:50.480000,0 days 01:21:25.356000,169.0,234.0,,305.0,False,INTERMEDIATE,18.0,True,Racing Point,0 days 01:19:47.863000,2019-07-28 13:59:48.025,1,False,,False,False,German Grand Prix,17,0.0,21.9,87.6,991.8,True,26.7,339,1.1
,15.0,STR,18,0 days 01:21:39.217000,26.0,3.0,0 days 01:21:44.200000,,0 days 00:00:41.680000,0 days 00:01:07.245000,0 days 00:00:42.835000,0 days 01:22:07.110000,0 days 01:23:14.352000,0 days 01:23:57.329000,131.0,128.0,164.0,310.0,False,MEDIUM,1.0,True,Racing Point,0 days 01:21:25.356000,2019-07-28 14:01:25.518,26,False,,False,False,German Grand Prix,17,0.0,21.7,87.2,991.8,True,26.6,9,0.5
0 days 00:02:00.781000,15.0,STR,18,0 days 01:24:39.253000,27.0,3.0,,,0 days 00:00:29.978000,0 days 00:00:51.462000,0 days 00:00:39.341000,0 days 01:24:27.102000,0 days 01:25:18.564000,0 days 01:25:57.905000,111.0,185.0,161.0,277.0,False,MEDIUM,2.0,True,Racing Point,0 days 01:23:57.124000,2019-07-28 14:03:57.286,6724,False,,False,False,German Grand Prix,17,0.0,21.8,87.1,991.7,True,26.6,279,1.2
0 days 00:02:23.968000,16.0,STR,18,0 days 01:26:39.281000,28.0,3.0,,0 days 01:28:19.435000,0 days 00:00:32.463000,0 days 00:01:01.687000,0 days 00:00:49.818000,0 days 01:26:30.368000,0 days 01:27:32.055000,0 days 01:28:21.873000,99.0,152.0,,239.0,False,MEDIUM,3.0,True,Racing Point,0 days 01:25:57.905000,2019-07-28 14:05:58.067,4,False,,False,False,German Grand Prix,17,0.0,21.7,88.5,991.9,True,26.4,244,0.6
0 days 00:01:58.676000,16.0,STR,18,0 days 01:28:39.307000,29.0,4.0,0 days 01:28:41.421000,,0 days 00:00:40.168000,0 days 00:00:45.036000,0 days 00:00:33.472000,0 days 01:29:02.041000,0 days 01:29:47.077000,0 days 01:30:20.549000,151.0,219.0,233.0,286.0,False,INTERMEDIATE,1.0,True,Racing Point,0 days 01:28:21.873000,2019-07-28 14:08:22.035,4,False,,False,False,German Grand Prix,17,0.0,21.6,88.0,991.8,True,26.4,25,0.9
0 days 00:01:56.971000,16.0,STR,18,0 days 01:30:39.335000,30.0,4.0,,,0 days 00:00:21.577000,0 days 00:00:49.309000,0 days 00:00:46.085000,0 days 01:30:42.126000,0 days 01:31:31.435000,0 days 01:32:17.520000,165.0,188.0,119.0,303.0,False,INTERMEDIATE,2.0,True,Racing Point,0 days 01:30:20.549000,2019-07-28 14:10:20.711,4,False,,False,False,German Grand Prix,17,0.0,21.9,89.0,991.8,True,27.1,79,0.5
0 days 00:01:58.404000,16.0,STR,18,0 days 01:32:39.362000,31.0,4.0,,,0 days 00:00:30.538000,0 days 00:00:56.047000,0 days 00:00:31.819000,0 days 01:32:48.058000,0 days 01:33:44.105000,0 days 01:34:15.924000,143.0,205.0,238.0,250.0,False,INTERMEDIATE,3.0,True,Racing Point,0 days 01:32:17.520000,2019-07-28 14:12:17.682,4,False,,False,False,German Grand Prix,17,0.0,22.1,88.4,991.8,True,27.3,336,0.5
